molecule_chembl_id,units,smiles,IC50_norm,pIC50,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors
CHEMBL3672731,nM,CO[C@H]1CC[C@@]2(CCc3ccc(-c4cc(Cl)cc(C#N)c4)cc3C23N=C(C)C(N)=N3)CC1,392.0,6.406713932979542,Intermediate,446.9820000000003,5.384780000000006,1.0,5.0
CHEMBL2011967,nM,COc1cccc(-c2cccc(C3(c4ccccc4)NC(=N)N(C)C3=O)c2)c1,392.0,6.406713932979542,Intermediate,371.44000000000005,3.602170000000002,2.0,3.0
CHEMBL4878232,nM,CC1(c2cc(NC(=O)c3ccc(C#N)cn3)ccc2F)Cc2cccnc2C(N)=N1,394.0,6.404503778174426,Intermediate,400.4170000000002,2.91648,2.0,6.0
CHEMBL5791514,nM,N#Cc1ccc(C(=O)Nc2csc([C@]34COC5(CCC5)C[C@H]3COC(N)=N4)n2)nc1,395.0,6.403402904373539,Intermediate,424.4860000000002,2.16148,2.0,9.0
CHEMBL3890460,nM,NC1=N[C@@]2(c3c(F)cccc3F)CO[C@@H](C3CC3)C[C@H]2CS1,395.0,6.403402904373539,Intermediate,324.396,3.0367000000000015,1.0,4.0
CHEMBL3691382,nM,CC(C)OC[C@H]1C[C@H]2CSC(N)=N[C@@]2(c2ccccc2F)CO1,396.0,6.402304814074488,Intermediate,338.4480000000001,2.912600000000001,1.0,5.0
CHEMBL5808647,nM,O=C(NC1=N[C@](CF)(c2cc(Br)ccc2Cl)[C@H]2C[C@H]2O1)c1ccccc1,396.0,6.402304814074488,Intermediate,437.6960000000002,4.472000000000003,1.0,3.0
CHEMBL3693239,nM,NC1=NC(CF)(c2cccc(NC(=O)c3ccc(Cl)cn3)c2)C2CC2O1,396.5,6.401756808346377,Intermediate,374.80300000000005,2.8855000000000013,2.0,5.0
CHEMBL3950004,nM,COc1ccc(F)c([C@H]2C[C@H]3CSC(N)=N[C@@]3(c3ccc(F)cc3F)CO2)c1,397.0,6.401209493236885,Intermediate,408.4450000000001,4.147100000000003,1.0,5.0
CHEMBL3956399,nM,NC1=N[C@](CF)(c2cc(Oc3ncccc3F)ccc2F)C[C@@H](C(F)(F)F)O1,398.0,6.400116927926312,Intermediate,405.29800000000006,3.982800000000002,1.0,5.0
CHEMBL3898614,nM,C[C@H]1C[C@H]2CSC(N)=N[C@@]2(c2nc(NC(=O)c3ccn(CC(F)F)n3)cs2)CO1,398.0,6.400116927926312,Intermediate,442.5170000000001,2.538800000000001,2.0,9.0
CHEMBL3764532,nM,O=C(/C=C(O)/C=C/c1ccc(OCc2ccc(F)cc2F)cc1)/C=C/c1ccc(OCc2ccc(F)cc2F)cc1,400.0,6.3979400086720375,Intermediate,560.5430000000002,8.138600000000006,1.0,4.0
CHEMBL3670907,nM,C[C@]1(c2cc(NC3CCCOC3)ccc2F)N=C(N)COC[C@@H]1F,400.0,6.3979400086720375,Intermediate,339.3860000000001,2.3573000000000004,2.0,5.0
CHEMBL5925547,nM,Cc1cc(OCC(C)(F)F)cnc1C(=O)Nc1ccc(F)c([C@]2(C)CO[C@@](C)(C(F)(F)F)C(N)=N2)n1,400.0,6.3979400086720375,Intermediate,519.4460000000003,4.134020000000002,2.0,7.0
CHEMBL263260,nM,CCCN(CCC)C(=O)c1cccc(C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@@H](O)C[C@@H](CC)C(=O)NCCCCC(=O)O)c1,400.0,6.3979400086720375,Intermediate,617.734,4.716400000000004,4.0,5.0
CHEMBL4084170,nM,C[C@@]1(c2cc(CNCCC(F)(F)F)c(F)cc2F)CCSC(N)=N1,400.0,6.3979400086720375,Intermediate,367.3870000000001,3.6736000000000013,2.0,4.0
